"id","userId","timestamp","keyPressed","isCheating","riskScore","typingPattern","typingSpeed"
"233","10","2025-03-16 09:27:42.391","Enter",,,,
"234","10","2025-03-16 09:27:42.813","d",,,,
"235","10","2025-03-16 09:27:43.021","e",,,,
"236","10","2025-03-16 09:27:43.233","f",,,,
"237","10","2025-03-16 09:27:43.381"," ",,,,
"238","10","2025-03-16 09:27:43.679","t",,,,
"239","10","2025-03-16 09:27:43.829","w",,,,
"240","10","2025-03-16 09:27:44.027","o",,,,
"241","10","2025-03-16 09:27:44.639"," ",,,,
"242","10","2025-03-16 09:27:44.848","Backspace",,,,
"243","10","2025-03-16 09:27:44.993","Shift",,,,
"244","10","2025-03-16 09:27:45.095",")",,,,
"245","10","2025-03-16 09:27:45.319","s",,,,
"246","10","2025-03-16 09:27:45.447","u",,,,
"247","10","2025-03-16 09:27:45.682","m",,,,
"248","10","2025-03-16 09:27:45.854","Shift",,,,
"249","10","2025-03-16 09:27:46.024","(",,,,
"250","10","2025-03-16 09:27:46.993","Backspace",,,,
"251","10","2025-03-16 09:27:47.2","Backspace",,,,
"252","10","2025-03-16 09:27:47.452","Backspace",,,,
"253","10","2025-03-16 09:27:47.622","Backspace",,,,
"254","10","2025-03-16 09:27:47.825","Backspace",,,,
"255","10","2025-03-16 09:27:48.149","Shift",,,,
"256","10","2025-03-16 09:27:48.423","_",,,,
"257","10","2025-03-16 09:27:48.663","s",,,,
"258","10","2025-03-16 09:27:48.752","u",,,,
"259","10","2025-03-16 09:27:48.966","m",,,,
"260","10","2025-03-16 09:27:49.123","Shift",,,,
"261","10","2025-03-16 09:27:49.291","(",,,,
"262","10","2025-03-16 09:27:53.053","b",,,,
"263","10","2025-03-16 09:27:53.328","n",,,,
"264","10","2025-03-16 09:27:53.458","g",,,,
"265","10","2025-03-16 09:27:53.481","i",,,,
"266","10","2025-03-16 09:27:53.938","Backspace",,,,
"267","10","2025-03-16 09:27:54.141","Backspace",,,,
"268","10","2025-03-16 09:27:54.365","Backspace",,,,
"269","10","2025-03-16 09:27:54.611","Backspace",,,,
"270","10","2025-03-16 09:27:55.528","u",,,,
"271","10","2025-03-16 09:27:55.526","n",,,,
"272","10","2025-03-16 09:27:55.705","m",,,,
"273","10","2025-03-16 09:27:56.081","1",,,,
"274","10","2025-03-16 09:27:56.405",",",,,,
"275","10","2025-03-16 09:27:56.492","n",,,,
"276","10","2025-03-16 09:27:56.698","u",,,,
"277","10","2025-03-16 09:27:56.951","m",,,,
"278","10","2025-03-16 09:27:57.069","2",,,,
"279","10","2025-03-16 09:27:57.89","Shift",,,,
"280","10","2025-03-16 09:27:58.139",")",,,,
"281","10","2025-03-16 09:27:58.378","Shift",,,,
"282","10","2025-03-16 09:27:58.484",":",,,,
"283","10","2025-03-16 09:27:58.911","Enter",,,,
"284","10","2025-03-16 09:28:00.585","Tab",,,,
"285","10","2025-03-16 09:28:02.031"," ",,,,
"286","10","2025-03-16 09:28:02.321"," ",,,,
"287","10","2025-03-16 09:28:38.51","Control",,,,
"288","10","2025-03-16 09:28:38.799","c",,,,
"289","10","2025-03-16 09:30:04.36","d",,,,
"290","10","2025-03-16 09:30:04.578","e",,,,
"291","10","2025-03-16 09:30:04.735","f",,,,
"292","10","2025-03-16 09:30:04.911"," ",,,,
"293","10","2025-03-16 09:30:05.249","s",,,,
"294","10","2025-03-16 09:30:05.08","i",,,,
"295","10","2025-03-16 09:30:05.551"," ",,,,
"296","10","2025-03-16 09:30:05.912","Backspace",,,,
"297","10","2025-03-16 09:30:06.207","v",,,,
"298","10","2025-03-16 09:30:06.355","a",,,,
"299","10","2025-03-16 09:30:06.679","Backspace",,,,
"300","10","2025-03-16 09:30:06.897","Backspace",,,,
"301","10","2025-03-16 09:30:07.106","Shift",,,,
"302","10","2025-03-16 09:30:07.261","V",,,,
"303","10","2025-03-16 09:30:07.563","a",,,,
"304","10","2025-03-16 09:30:07.698","l",,,,
"305","10","2025-03-16 09:30:07.945","i",,,,
"306","10","2025-03-16 09:30:08.043","d",,,,
"307","10","2025-03-16 09:30:08.355","Shift",,,,
"308","10","2025-03-16 09:30:08.523","S",,,,
"309","10","2025-03-16 09:30:08.742","u",,,,
"310","10","2025-03-16 09:30:08.939","d",,,,
"311","10","2025-03-16 09:30:09.307","o",,,,
"312","10","2025-03-16 09:30:10.925","k",,,,
"313","10","2025-03-16 09:30:11.554","u",,,,
"314","10","2025-03-16 09:30:12.285","Shift",,,,
"315","10","2025-03-16 09:30:12.435","(",,,,
"316","10","2025-03-16 09:30:22.622","b",,,,
